what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1397127047135
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1397127047136
started,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1397127047136
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1397127047136
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1397127047137
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1397127047138
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1397127047138
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1397127047138
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1397127047139
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1397127047140
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1397127047141
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1397127047141
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1397127047142
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1397127047143
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1397127047143
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1397127047144
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1397127047144
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1397127047145
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1397127047146
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1397127047146
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1397127047147
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1397127047148
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1397127047148
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1397127047150
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1397127047150
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1397127047150
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1397127047151
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1397127047152
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1397127047154
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1397127047154
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1397127047155
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1397127047180
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1397127047181
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1397127047181
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1397127047182
os,sysinfo,,,"win32",1397127047185
arch,sysinfo,,,"x86",1397127047185
ws,sysinfo,,,"win32",1397127047185
locale,sysinfo,,,"de_CH",1397127047185
processors,sysinfo,,,"4",1397127047185
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1397127047185
java.runtime.version,sysinfo,,,"1.8.0-b126",1397127047185
java.specification.name,sysinfo,,,"Java Platform API Specification",1397127047185
java.specification.vendor,sysinfo,,,"Oracle Corporation",1397127047185
java.specification.version,sysinfo,,,"1.8",1397127047185
java.vendor,sysinfo,,,"Oracle Corporation",1397127047185
java.version,sysinfo,,,"1.8.0",1397127047185
java.vm.info,sysinfo,,,"mixed mode",1397127047185
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1397127047185
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1397127047185
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1397127047185
java.vm.specification.version,sysinfo,,,"1.8",1397127047185
java.vm.vendor,sysinfo,,,"Oracle Corporation",1397127047185
java.vm.version,sysinfo,,,"25.0-b67",1397127047185
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1397127047204
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1397127048638
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1397127048667
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1397127048695
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397127052051
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397127054980
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397127059297
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397127064239
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397127068270
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1397127086460
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397127096745
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1397127096754
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1397127096754
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397127098787
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397127145260
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1397127145266
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1397127145266
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1397127150255
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1397127150272
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397127151256
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397127211705
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397127216281
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397127219375
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397127219499
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1397127219911
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1397127219915
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1397127220065
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1397127220095
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1397127220128
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1397127220211
